Timestamp (s),Engine RPM,Vehicle Speed (km/h),Coolant Temp (°C),Throttle Position (%),Engine Load (%),Intake Air Temp (°C),MAF Air Flow (g/s)
765,600,0,105,5,17,23,44.7
766,600,0,105,8,15,38,22.2
767,600,0,105,6,11,20,18.4
768,600,0,105,4,10,54,19.9
769,600,0,105,2,10,27,26.3
770,600,0,105,2,17,53,32.8
771,600,0,105,5,13,57,15.9
772,600,0,105,5,18,48,14.6
773,600,0,105,10,15,32,47.9
774,600,0,105,1,15,27,14.3
775,600,0,105,5,10,42,7.1
776,600,0,105,3,16,26,7.8
777,600,0,105,2,10,22,38.8
778,600,0,105,10,18,47,10.9
779,600,0,105,1,17,54,25.0
780,600,0,105,0,13,47,3.4
781,600,0,105,5,17,48,42.2
782,600,0,105,0,10,37,29.1
783,600,0,105,7,13,21,9.6
784,600,0,105,6,15,38,6.2
785,600,0,105,0,16,29,24.4
786,600,0,105,8,17,34,7.7
787,600,0,105,7,16,35,26.5
788,600,0,105,5,11,46,35.7
789,600,0,105,8,20,24,16.5
790,600,0,105,1,16,24,9.1
791,600,0,105,5,20,24,35.5
792,600,0,105,7,19,55,34.7
793,600,0,105,9,20,43,4.9
794,600,0,105,8,18,59,46.5
795,600,0,105,7,20,43,20.7
796,600,0,105,5,11,28,27.1
797,600,0,105,9,14,60,10.3
798,600,0,105,6,12,59,49.9
799,600,0,105,4,14,26,6.6
800,600,0,105,4,19,25,41.5
801,600,0,105,6,13,41,4.5
802,600,0,105,3,12,27,3.3
803,600,0,105,9,17,27,32.6
804,600,0,105,9,11,22,42.9
805,600,0,105,1,15,38,9.3
806,600,0,105,8,18,25,34.0
807,600,0,105,6,19,45,6.9
808,600,0,105,4,14,41,19.1
809,600,0,105,10,10,42,40.1
810,600,0,105,10,14,44,37.6
811,600,0,105,2,15,48,11.2
812,600,0,105,3,14,50,19.6
813,600,0,105,4,20,57,3.8
814,600,0,105,5,10,31,36.5
815,600,0,105,3,10,49,31.0
816,600,0,105,2,17,41,20.6
817,600,0,105,2,18,40,33.5
818,600,0,105,6,10,48,45.2
819,600,0,105,7,17,20,25.2
820,600,0,105,10,18,23,38.0
821,600,0,105,9,18,22,6.6
822,600,0,105,9,19,30,23.8
823,600,0,105,9,10,57,21.7
824,600,0,105,4,18,27,24.5
825,600,0,105,0,15,25,43.9
826,600,0,105,6,18,41,39.3
827,600,0,105,0,10,31,22.8
828,600,0,105,4,16,30,7.8
829,600,0,105,1,10,42,39.4
830,600,0,105,2,17,29,23.4
831,600,0,105,6,11,40,8.4
832,600,0,105,6,15,33,7.3
833,600,0,105,2,13,36,34.3
834,600,0,105,1,17,60,26.7
835,600,0,105,6,17,59,27.5
836,600,0,105,6,12,43,20.6
837,600,0,105,1,20,60,41.6
838,600,0,105,0,17,26,45.1
839,600,0,105,9,12,33,3.1
840,600,0,105,8,17,36,13.8
841,600,0,105,4,18,46,49.1
842,600,0,105,0,11,37,22.2
843,600,0,105,0,20,35,45.0
844,600,0,105,10,12,20,19.5
845,600,0,105,7,18,28,41.4
846,600,0,105,5,13,47,4.7
847,600,0,105,0,17,28,11.1
848,600,0,105,0,17,21,39.1
849,600,0,105,8,12,32,43.8
850,600,0,105,7,12,37,24.0
851,600,0,105,5,10,26,14.3
852,600,0,105,6,17,58,35.1
853,600,0,105,6,14,59,43.6
854,600,0,105,9,16,31,44.2
855,600,0,105,5,15,52,10.9
856,600,0,105,7,19,33,16.8
857,600,0,105,9,11,29,35.1
858,600,0,105,9,11,24,34.0
859,600,0,105,6,12,36,29.4
860,600,0,105,5,17,30,28.5
861,600,0,105,2,15,44,31.2
862,600,0,105,10,17,43,6.3
863,600,0,105,10,10,35,2.8
864,600,0,105,2,19,44,34.7
865,600,0,105,10,10,26,28.5
866,600,0,105,0,12,38,34.0
867,600,0,105,0,19,31,34.1
868,600,0,105,7,20,53,37.0
869,600,0,105,4,10,30,46.4
870,600,0,105,2,14,38,24.6
871,600,0,105,3,15,35,24.4
872,600,0,105,1,12,60,43.3
873,600,0,105,10,17,38,5.5
874,600,0,105,4,10,60,30.0
875,600,0,105,7,17,39,8.5
876,600,0,105,6,20,48,33.5
877,600,0,105,0,19,28,19.7
878,600,0,105,8,12,60,37.8
879,600,0,105,8,19,52,13.0
880,600,0,105,4,16,34,43.8
881,600,0,105,6,15,57,41.2
882,600,0,105,3,12,23,39.0
883,600,0,105,6,16,22,49.9
884,600,0,105,9,17,31,46.2
885,600,0,105,9,12,47,49.9
886,600,0,105,3,10,38,26.1
887,600,0,105,2,18,53,22.2
888,600,0,105,9,20,33,10.3
889,600,0,105,3,15,48,48.3
890,600,0,105,7,17,34,9.8
891,600,0,105,2,20,43,23.4
892,600,0,105,3,15,46,33.4
893,600,0,105,8,19,37,32.6
894,600,0,105,0,14,50,13.2
895,600,0,105,3,17,39,30.4
896,600,0,105,3,12,22,22.5
897,600,0,105,4,20,54,24.3
898,600,0,105,0,17,33,25.5
899,600,0,105,10,19,25,33.1
900,600,0,105,7,18,39,2.6
901,600,0,105,10,11,33,41.8
902,600,0,105,3,19,50,30.7
903,600,0,105,7,19,50,27.8
904,600,0,105,0,18,45,6.1
905,600,0,105,5,15,23,13.1
906,600,0,105,3,20,22,35.7
907,600,0,105,3,12,31,35.7
908,600,0,105,3,12,57,35.2
909,600,0,105,9,20,40,22.7
910,600,0,105,5,14,25,38.4
911,600,0,105,0,12,24,40.6
912,600,0,105,3,10,51,28.7
913,600,0,105,7,11,30,25.2
914,600,0,105,1,18,39,20.5
915,600,0,105,5,12,58,10.1
916,600,0,105,3,14,50,7.3
917,600,0,105,3,14,27,46.4
918,600,0,105,6,19,21,4.0
919,600,0,105,9,16,54,44.9
920,600,0,105,10,16,41,33.9
921,600,0,105,6,12,33,38.3
922,600,0,105,1,11,45,31.1
923,600,0,105,2,17,52,49.0
924,600,0,105,1,15,30,14.5
925,600,0,105,7,13,39,34.3
926,600,0,105,5,20,21,46.4
927,600,0,105,5,12,59,22.0
928,600,0,105,1,15,44,4.5
929,600,0,105,4,19,40,27.8
930,600,0,105,2,18,54,20.0
931,600,0,105,9,13,26,14.4
932,600,0,105,2,19,58,24.6
933,600,0,105,10,20,50,16.1
934,600,0,105,8,10,26,18.3
935,600,0,105,9,16,33,33.1
936,600,0,105,6,17,24,32.3
937,600,0,105,10,10,48,5.2
938,600,0,105,0,10,57,25.8
939,600,0,105,3,19,20,48.3
940,600,0,105,1,20,40,40.1
941,600,0,105,9,13,36,2.0
942,600,0,105,5,10,32,13.1
943,600,0,105,4,19,60,36.9
944,600,0,105,9,16,26,45.4
945,600,0,105,9,18,35,42.4
946,600,0,105,10,19,26,49.0
947,600,0,105,7,15,50,12.0
948,600,0,105,9,11,58,45.3
949,600,0,105,7,18,25,21.2
950,600,0,105,1,12,46,25.4
951,600,0,105,10,10,20,32.5
952,600,0,105,9,19,39,43.0
953,600,0,105,9,16,40,25.0
954,600,0,105,0,14,28,45.4
955,600,0,105,3,13,49,32.3
956,600,0,105,4,19,20,16.4
957,600,0,105,5,19,58,35.2
958,600,0,105,6,17,53,48.8
959,600,0,105,7,10,48,14.9
960,600,0,105,6,11,47,15.0
961,600,0,105,7,17,45,31.5
962,600,0,105,6,10,45,11.5
963,600,0,105,6,15,31,11.9
964,600,0,105,7,12,36,30.9
965,600,0,105,6,14,24,34.1
966,600,0,105,2,12,47,2.1
967,600,0,105,1,13,25,21.0
968,600,0,105,2,20,59,48.6
969,600,0,105,4,14,51,41.5
970,600,0,105,1,19,22,37.4
971,600,0,105,5,20,54,25.9
972,600,0,105,0,15,24,28.4
973,600,0,105,1,15,25,17.7
974,600,0,105,2,11,40,42.6
975,600,0,105,9,16,34,8.4
976,600,0,105,2,11,41,26.9
977,600,0,105,4,11,46,49.6
978,600,0,105,7,12,23,22.5
979,600,0,105,7,16,31,40.9
980,600,0,105,6,16,59,36.8
981,600,0,105,8,11,31,42.9
982,600,0,105,1,18,33,7.4
983,600,0,105,1,14,42,28.5
984,600,0,105,8,12,34,17.0
985,600,0,105,10,14,44,25.4
986,600,0,105,5,10,42,35.6
987,600,0,105,0,19,27,16.6
988,600,0,105,9,10,46,19.2
989,600,0,105,0,11,27,46.0
990,600,0,105,6,20,54,24.2
991,600,0,105,1,18,22,20.4
992,600,0,105,8,14,33,20.5
993,600,0,105,10,18,34,7.6
994,600,0,105,3,13,58,33.1
995,600,0,105,2,15,48,7.1
996,600,0,105,0,17,58,19.9
997,600,0,105,4,10,55,7.3
998,600,0,105,3,14,24,2.5
999,600,0,105,2,20,44,47.1
1000,600,0,105,0,15,36,10.6
1001,600,0,105,2,14,32,6.2
1002,600,0,105,9,11,44,3.1
1003,600,0,105,8,17,50,38.9
1004,600,0,105,2,14,58,32.0
1005,600,0,105,3,17,57,42.3
1006,600,0,105,6,18,20,41.2
1007,600,0,105,9,16,22,37.8
1008,600,0,105,3,15,44,26.9
1009,600,0,105,6,13,29,31.5
1010,600,0,105,6,18,29,35.2
1011,600,0,105,0,15,29,23.9
1012,600,0,105,10,14,46,38.3
1013,600,0,105,5,10,42,42.3
1014,600,0,105,4,12,59,15.8
1015,600,0,105,1,20,25,27.6
1016,600,0,105,1,13,23,22.9
1017,600,0,105,7,13,50,24.7
1018,600,0,105,7,20,56,14.5
1019,600,0,105,1,13,59,17.4
1020,600,0,105,10,16,22,46.4
1021,600,0,105,5,13,30,5.6
1022,600,0,105,4,13,56,13.8
1023,600,0,105,0,11,51,46.3
1024,600,0,105,4,12,48,40.6
1025,600,0,105,1,19,51,26.1
1026,600,0,105,10,20,25,16.8
1027,600,0,105,6,17,38,46.6
1028,600,0,105,1,16,35,31.0
1029,600,0,105,4,19,45,29.6
1030,600,0,105,3,13,33,12.8
1031,600,0,105,6,14,60,32.8
1032,600,0,105,9,16,30,37.9
1033,600,0,105,0,18,24,18.6
1034,600,0,105,3,17,46,43.6
1035,600,0,105,0,10,59,43.8
1036,600,0,105,9,14,53,45.3
1037,600,0,105,8,15,59,23.0
1038,600,0,105,6,16,46,40.2
1039,600,0,105,0,20,29,4.8
1040,600,0,105,8,20,37,47.5
1041,600,0,105,5,11,48,8.5
1042,600,0,105,8,15,43,8.5
1043,600,0,105,9,10,30,22.6
1044,600,0,105,10,11,51,13.6
1045,600,0,105,7,20,26,40.0
1046,600,0,105,5,17,34,8.8
1047,600,0,105,2,15,26,12.3
1048,600,0,105,1,19,58,18.2
1049,600,0,105,0,17,26,48.1
1050,600,0,105,8,14,44,9.2
1051,600,0,105,4,20,54,4.1
1052,600,0,105,1,20,60,7.3
1053,600,0,105,6,19,42,29.7
1054,600,0,105,4,10,52,7.1
1055,600,0,105,4,16,41,24.3
1056,600,0,105,4,15,48,42.5
1057,600,0,105,4,19,37,20.8
1058,600,0,105,7,20,38,37.1
1059,600,0,105,2,16,39,43.6
1060,600,0,105,0,10,55,17.7
1061,600,0,105,2,18,54,48.4
1062,600,0,105,7,12,53,13.8
1063,600,0,105,0,10,48,30.7
1064,600,0,105,5,11,36,28.5
1065,600,0,105,1,19,49,16.2
1066,600,0,105,1,19,56,48.5
1067,600,0,105,9,12,54,40.7
1068,600,0,105,8,12,43,19.0
1069,600,0,105,9,12,26,49.2
1070,600,0,105,4,20,32,49.4
1071,600,0,105,6,20,32,34.6
1072,600,0,105,0,10,53,8.4
1073,600,0,105,6,20,43,25.3
1074,600,0,105,10,19,55,41.1
1075,600,0,105,2,11,57,3.1
1076,600,0,105,10,15,32,22.5
1077,600,0,105,8,11,42,28.3
1078,600,0,105,4,11,55,49.3
1079,600,0,105,3,16,20,22.2
1080,600,0,105,7,10,49,29.4
1081,600,0,105,0,15,41,10.2
1082,600,0,105,6,13,22,46.7
1083,600,0,105,1,11,42,24.4
1084,600,0,105,3,14,31,5.2
1085,600,0,105,0,14,37,18.3
1086,600,0,105,8,10,36,9.8
1087,600,0,105,6,14,55,5.9
1088,600,0,105,0,19,38,34.3
1089,600,0,105,7,13,22,9.2
1090,600,0,105,4,17,37,37.9
1091,600,0,105,6,19,32,50.0
1092,600,0,105,9,14,55,48.9
1093,600,0,105,5,12,37,2.7
1094,600,0,105,6,10,28,8.6
1095,600,0,105,9,13,21,22.6
1096,600,0,105,10,20,44,22.3
1097,600,0,105,5,20,25,47.8
1098,600,0,105,6,14,55,29.6
1099,600,0,105,6,20,33,25.9
1100,600,0,105,8,11,31,46.6
1101,600,0,105,7,15,50,31.5
1102,600,0,105,3,20,57,29.5
1103,600,0,105,7,13,36,48.2
1104,600,0,105,4,17,24,29.5
1105,600,0,105,8,10,49,34.7
1106,600,0,105,2,18,44,46.2
1107,600,0,105,7,13,27,16.2
1108,600,0,105,8,18,36,42.7
1109,600,0,105,10,17,27,35.6
1110,600,0,105,0,17,47,19.9
1111,600,0,105,9,13,57,18.6
1112,600,0,105,3,16,22,31.6
1113,600,0,105,4,14,53,44.5
1114,600,0,105,2,15,20,45.9
1115,600,0,105,5,12,57,32.7
1116,600,0,105,10,13,23,44.3
1117,600,0,105,8,20,48,42.7
1118,600,0,105,9,11,36,43.0
1119,600,0,105,3,10,25,9.0
1120,600,0,105,3,11,59,24.1
1121,600,0,105,0,19,36,12.5
1122,600,0,105,0,17,50,39.9
1123,600,0,105,1,15,51,40.6
1124,600,0,105,6,12,24,45.4
1125,600,0,105,1,15,53,12.1
1126,600,0,105,5,11,54,45.2
1127,600,0,105,10,10,49,15.0
1128,600,0,105,4,17,42,31.4
1129,600,0,105,1,15,41,15.3
1130,600,0,105,6,17,21,18.0
1131,600,0,105,10,15,27,20.6
1132,600,0,105,0,19,30,21.3
1133,600,0,105,10,17,21,41.1
1134,600,0,105,5,16,36,8.5
1135,600,0,105,6,20,28,42.1
1136,600,0,105,4,17,20,3.8
1137,600,0,105,5,16,51,44.2
1138,600,0,105,3,15,31,25.1
1139,600,0,105,1,20,53,37.5
1140,600,0,105,2,14,53,48.7
1141,600,0,105,9,19,59,28.8
1142,600,0,105,8,11,36,18.7
1143,600,0,105,1,12,24,6.0
1144,600,0,105,8,17,44,47.8
1145,600,0,105,10,20,43,36.3
1146,600,0,105,1,10,50,20.5
1147,600,0,105,2,16,26,16.1
1148,600,0,105,4,19,41,38.7
1149,600,0,105,4,14,30,38.8
1150,600,0,105,1,18,42,19.5
1151,600,0,105,10,10,33,11.3
1152,600,0,105,9,20,39,23.6
1153,600,0,105,4,20,25,6.0
1154,600,0,105,8,10,53,36.2
1155,600,0,105,9,12,50,28.5
1156,600,0,105,6,19,20,49.5
1157,600,0,105,4,15,21,14.4
1158,600,0,105,6,14,25,50.0
1159,600,0,105,2,17,40,25.9
1160,600,0,105,3,12,36,11.2
1161,600,0,105,0,16,36,15.1
1162,600,0,105,8,16,23,38.7
1163,600,0,105,5,17,20,11.9
1164,600,0,105,6,10,34,5.5
1165,600,0,105,0,13,55,32.4
1166,600,0,105,2,15,35,36.0
1167,600,0,105,4,16,56,29.4
1168,600,0,105,3,10,49,26.5
1169,600,0,105,6,13,40,47.1
1170,600,0,105,9,18,59,24.1
1171,600,0,105,7,16,27,6.9
1172,600,0,105,3,19,57,22.2
1173,600,0,105,10,12,46,3.8
1174,600,0,105,5,20,39,44.5
1175,600,0,105,8,18,27,26.4
1176,600,0,105,6,20,45,35.8
1177,600,0,105,4,17,40,13.6
1178,600,0,105,10,10,21,27.2
1179,600,0,105,5,15,24,36.6
1180,600,0,105,0,14,51,22.0
1181,600,0,105,5,20,33,29.9
1182,600,0,105,0,15,20,16.1
1183,600,0,105,9,11,44,49.9
1184,600,0,105,10,19,59,48.0
1185,600,0,105,3,12,60,18.5
1186,600,0,105,2,11,20,10.4
1187,600,0,105,3,12,36,39.5
1188,600,0,105,8,10,24,7.8
1189,600,0,105,2,16,35,25.6
1190,600,0,105,0,14,55,20.5
1191,600,0,105,4,20,35,16.0
1192,600,0,105,0,13,42,45.0
1193,600,0,105,4,17,20,23.7
1194,600,0,105,4,19,47,39.6
1195,600,0,105,7,13,38,38.2
1196,600,0,105,6,19,54,46.6
1197,600,0,105,0,16,43,8.1
1198,600,0,105,3,16,51,20.1
1199,600,0,105,7,14,54,25.4
1200,600,0,105,1,16,37,23.2
1201,600,0,105,8,16,38,33.0
1202,600,0,105,3,15,41,38.0
1203,600,0,105,5,15,37,42.9
1204,600,0,105,3,19,59,8.6
1205,600,0,105,0,11,29,28.8
1206,600,0,105,5,17,26,3.7
1207,600,0,105,0,10,50,14.4
1208,600,0,105,4,15,23,40.9
1209,600,0,105,0,18,43,44.6
1210,600,0,105,5,19,31,17.2
1211,600,0,105,0,13,48,23.5
1212,600,0,105,2,20,36,27.7
1213,600,0,105,10,12,29,17.9
1214,600,0,105,1,13,26,33.2
1215,600,0,105,8,19,40,7.8
1216,600,0,105,7,18,52,39.0
1217,600,0,105,7,10,54,9.5
1218,600,0,105,0,15,21,2.2
1219,600,0,105,4,17,31,34.1
1220,600,0,105,3,16,39,27.4
1221,600,0,105,10,16,21,23.4
1222,600,0,105,8,16,56,22.3
1223,600,0,105,1,16,53,15.0
1224,600,0,105,3,12,44,11.0
1225,600,0,105,0,17,57,31.5
1226,600,0,105,1,19,53,9.0
1227,600,0,105,4,16,34,31.5
1228,600,0,105,1,19,28,7.5
1229,600,0,105,2,18,44,43.8
1230,600,0,105,0,19,37,27.4
1231,600,0,105,4,13,60,40.3
1232,600,0,105,9,18,57,35.2
1233,600,0,105,4,19,38,12.0
1234,600,0,105,8,11,49,24.2
1235,600,0,105,2,14,44,29.8
1236,600,0,105,6,18,47,38.7
1237,600,0,105,9,15,32,27.8
1238,600,0,105,9,18,57,9.3
1239,600,0,105,1,11,50,44.4
1240,600,0,105,6,18,37,8.2
1241,600,0,105,9,18,57,18.8
1242,600,0,105,3,12,45,4.3
1243,600,0,105,10,17,40,47.7
1244,600,0,105,0,12,29,7.8
1245,600,0,105,9,17,33,12.0
1246,600,0,105,0,10,22,27.9
1247,600,0,105,9,11,23,22.1
1248,600,0,105,10,19,52,31.0
1249,600,0,105,5,16,24,44.9
1250,600,0,105,3,14,25,26.9
1251,600,0,105,8,10,49,35.7
1252,600,0,105,1,13,44,30.0
1253,600,0,105,8,11,33,41.4
1254,600,0,105,4,14,32,45.8
1255,600,0,105,0,13,58,44.0
1256,600,0,105,5,18,49,14.3
1257,600,0,105,0,19,38,43.5
1258,600,0,105,5,14,35,20.1
1259,600,0,105,9,16,20,47.8
1260,600,0,105,8,11,54,11.0
1261,600,0,105,1,20,56,47.2
1262,600,0,105,6,12,49,42.3
1263,600,0,105,4,13,47,12.5
1264,600,0,105,0,10,58,30.2
1265,600,0,105,0,11,26,47.2
1266,600,0,105,3,18,60,7.0
1267,600,0,105,9,15,41,39.6
1268,600,0,105,4,16,30,25.1
1269,600,0,105,2,13,54,42.6
1270,600,0,105,10,16,27,2.8
1271,600,0,105,1,15,40,49.3
1272,600,0,105,0,11,40,32.1
1273,600,0,105,0,13,20,8.8
1274,600,0,105,7,19,31,41.0
1275,600,0,105,10,12,53,15.2
1276,600,0,105,7,18,20,20.0
1277,600,0,105,8,12,39,26.0
1278,600,0,105,1,12,55,8.5
1279,600,0,105,4,13,40,40.1
1280,600,0,105,3,13,42,39.6
1281,600,0,105,4,18,45,12.2
1282,600,0,105,7,14,34,6.8
1283,600,0,105,5,11,49,25.4
1284,600,0,105,0,10,29,23.7
1285,600,0,105,6,13,57,20.6
1286,600,0,105,9,16,53,34.8
1287,600,0,105,4,15,56,5.5
1288,600,0,105,6,19,50,18.4
1289,600,0,105,1,11,33,3.3
1290,600,0,105,6,11,33,36.9
1291,600,0,105,9,15,20,23.1
1292,600,0,105,10,14,30,48.9
1293,600,0,105,8,20,25,23.6
1294,600,0,105,10,11,43,46.4
1295,600,0,105,5,19,43,29.5
1296,600,0,105,7,15,35,12.5
1297,600,0,105,4,11,38,23.0
1298,600,0,105,9,18,21,34.1
1299,600,0,105,6,16,54,39.6
1300,600,0,105,9,10,45,6.7
1301,600,0,105,10,12,60,44.3
1302,600,0,105,9,19,39,36.5
1303,600,0,105,10,13,50,49.8
1304,600,0,105,6,17,20,11.3
1305,600,0,105,8,10,34,29.7
1306,600,0,105,0,20,50,9.3
1307,600,0,105,3,19,32,32.7
1308,600,0,105,7,10,58,7.8
1309,600,0,105,2,16,59,13.7
1310,600,0,105,2,16,40,28.5
1311,600,0,105,3,18,21,15.7
1312,600,0,105,0,14,20,13.5
1313,600,0,105,8,17,40,25.7
1314,600,0,105,0,15,25,41.6
1315,600,0,105,9,19,27,3.7
1316,600,0,105,6,12,26,47.4
1317,600,0,105,4,15,29,28.6
1318,600,0,105,3,18,46,36.4
1319,600,0,105,3,16,21,40.7
1320,600,0,105,3,13,48,18.4
1321,600,0,105,10,16,41,14.7
1322,600,0,105,1,17,38,4.2
1323,600,0,105,8,15,49,24.6
1324,600,0,105,3,14,27,43.9
1325,600,0,105,2,13,43,46.8
1326,600,0,105,6,20,47,31.3
1327,600,0,105,7,15,53,24.0
1328,600,0,105,6,13,50,32.3
1329,600,0,105,10,17,42,36.5
1330,600,0,105,7,15,59,25.2
1331,600,0,105,4,14,36,6.5
1332,600,0,105,3,15,50,27.1
1333,600,0,105,9,13,43,38.1
1334,600,0,105,0,15,41,2.7
1335,600,0,105,0,12,25,23.5
1336,600,0,105,6,10,34,14.9
1337,600,0,105,3,19,29,36.0
1338,600,0,105,1,20,38,46.4
1339,600,0,105,1,10,49,44.3
1340,600,0,105,2,17,33,17.1
1341,600,0,105,10,11,25,17.5
1342,600,0,105,5,20,52,32.8
1343,600,0,105,1,20,33,20.1
1344,600,0,105,3,19,30,36.8
1345,600,0,105,1,12,52,3.6
1346,600,0,105,9,11,28,30.1
1347,600,0,105,6,19,24,16.6
1348,600,0,105,7,15,23,5.8
1349,600,0,105,5,14,59,5.6
1350,600,0,105,1,13,27,15.0
1351,600,0,105,10,12,57,14.1
1352,600,0,105,5,15,42,4.0
1353,600,0,105,8,10,56,46.8
1354,600,0,105,7,18,53,21.4
1355,600,0,105,2,17,25,6.9
1356,600,0,105,10,16,51,31.4
1357,600,0,105,7,13,57,11.9
1358,600,0,105,1,20,20,13.4
1359,600,0,105,9,14,33,18.4
1360,600,0,105,9,12,53,17.8
1361,600,0,105,4,16,48,2.1
1362,600,0,105,1,10,25,11.2
1363,600,0,105,3,13,46,9.7
1364,600,0,105,0,16,34,14.2
1365,600,0,105,3,19,44,47.6
1366,600,0,105,2,19,48,24.3
1367,600,0,105,7,13,24,46.6
1368,600,0,105,4,16,51,36.1
1369,600,0,105,1,10,32,48.9
1370,600,0,105,3,14,53,32.3
1371,600,0,105,6,10,43,20.3
1372,600,0,105,3,13,51,35.3
1373,600,0,105,4,11,41,35.6
1374,600,0,105,0,18,54,10.5
1375,600,0,105,6,13,48,44.6
1376,600,0,105,10,19,54,23.0
1377,600,0,105,0,20,45,40.8
1378,600,0,105,5,19,58,29.7
1379,600,0,105,7,11,36,19.5
1380,600,0,105,10,12,39,10.3
1381,600,0,105,10,15,43,17.2
1382,600,0,105,1,13,59,7.8
1383,600,0,105,0,14,26,18.2
1384,600,0,105,9,19,22,4.3
1385,600,0,105,1,11,22,31.6
1386,600,0,105,0,11,22,17.7
1387,600,0,105,2,16,46,30.3
1388,600,0,105,3,14,41,6.4
1389,600,0,105,5,20,38,35.9
1390,600,0,105,1,11,60,14.0
1391,600,0,105,1,14,57,26.8
1392,600,0,105,9,15,39,40.9
1393,600,0,105,10,12,34,4.8
1394,600,0,105,3,12,25,36.6
1395,600,0,105,7,18,20,20.2
1396,600,0,105,5,17,55,22.6
1397,600,0,105,10,11,59,45.7
1398,600,0,105,0,10,43,31.4
1399,600,0,105,3,16,48,15.1
1400,600,0,105,8,15,29,49.0
1401,600,0,105,5,20,35,41.4
1402,600,0,105,8,19,41,17.1
1403,600,0,105,4,11,27,47.9
1404,600,0,105,4,12,46,29.4
1405,600,0,105,10,17,60,36.8
1406,600,0,105,6,19,29,4.9
1407,600,0,105,8,17,39,25.3
1408,600,0,105,3,20,31,37.8
1409,600,0,105,9,11,22,2.9
1410,600,0,105,5,17,55,44.8
1411,600,0,105,9,10,21,45.7
1412,600,0,105,10,20,20,9.5
1413,600,0,105,1,16,35,5.3
1414,600,0,105,1,14,22,39.3
1415,600,0,105,3,16,58,13.8
1416,600,0,105,4,10,26,11.8
1417,600,0,105,2,10,20,34.7
1418,600,0,105,1,14,50,43.7
1419,600,0,105,6,10,45,46.2
1420,600,0,105,2,18,58,23.2
1421,600,0,105,8,11,47,25.5
1422,600,0,105,10,18,40,35.7
1423,600,0,105,6,19,60,7.9
1424,600,0,105,10,12,42,23.7
1425,600,0,105,7,15,57,42.5
1426,600,0,105,5,18,50,10.9
1427,600,0,105,2,16,22,7.8
1428,600,0,105,8,12,37,44.4
1429,600,0,105,8,20,37,27.7
1430,600,0,105,9,19,24,6.7
1431,600,0,105,7,17,49,39.1
1432,600,0,105,4,13,39,3.1
1433,600,0,105,5,10,35,4.3
1434,600,0,105,3,13,35,15.7
1435,600,0,105,10,14,31,29.9
1436,600,0,105,2,16,50,44.6
1437,600,0,105,10,15,43,28.6
1438,600,0,105,8,19,42,17.6
1439,600,0,105,7,10,26,3.5
1440,600,0,105,0,19,26,4.2
1441,600,0,105,9,10,58,42.4
1442,600,0,105,10,10,47,39.8
1443,600,0,105,3,16,25,8.6
1444,600,0,105,7,14,47,16.8
1445,600,0,105,8,17,43,22.0
1446,600,0,105,1,18,54,45.7
1447,600,0,105,10,18,58,47.5
1448,600,0,105,4,10,22,17.9
1449,600,0,105,6,17,35,21.4
1450,600,0,105,0,14,21,13.2
1451,600,0,105,9,12,27,5.3
1452,600,0,105,9,14,50,10.4
1453,600,0,105,2,15,20,38.3
1454,600,0,105,8,18,22,47.6
1455,600,0,105,1,15,33,2.1
1456,600,0,105,6,15,59,17.8
1457,600,0,105,1,11,60,20.7
1458,600,0,105,6,19,25,5.6
1459,600,0,105,8,15,58,23.1
1460,600,0,105,8,19,24,14.7
1461,600,0,105,6,14,31,20.6
1462,600,0,105,5,18,33,18.4
1463,600,0,105,1,10,43,22.5
1464,600,0,105,0,10,57,49.6
1465,600,0,105,0,12,54,32.2
1466,600,0,105,8,20,22,26.8
1467,600,0,105,5,19,59,41.4
1468,600,0,105,2,17,31,46.1
1469,600,0,105,9,11,22,47.3
1470,600,0,105,2,13,30,12.7
1471,600,0,105,4,14,38,39.3
1472,600,0,105,2,14,21,26.4
1473,600,0,105,4,20,31,37.6
1474,600,0,105,4,16,53,23.2
1475,600,0,105,3,13,25,48.4
1476,600,0,105,7,17,51,26.4
1477,600,0,105,2,14,53,25.3
1478,600,0,105,2,19,49,15.8
1479,600,0,105,5,18,35,8.5
1480,600,0,105,9,16,43,17.5
1481,600,0,105,5,17,30,28.6
1482,600,0,105,2,20,26,17.9
1483,600,0,105,5,16,44,37.1
1484,600,0,105,6,19,56,20.0
1485,600,0,105,7,18,34,34.5
1486,600,0,105,5,10,50,41.3
1487,600,0,105,7,20,55,35.3
1488,600,0,105,1,10,30,13.0
1489,600,0,105,2,19,52,44.1
1490,600,0,105,3,12,35,26.3
1491,600,0,105,10,10,32,49.4
1492,600,0,105,9,10,37,7.0
1493,600,0,105,10,11,39,2.8
1494,600,0,105,5,16,45,28.3
1495,600,0,105,9,10,44,26.9
1496,600,0,105,3,18,55,40.1
1497,600,0,105,7,13,55,16.7
1498,600,0,105,9,13,48,49.8
1499,600,0,105,0,15,43,33.6
1500,600,0,105,5,20,46,37.2
1501,600,0,105,6,19,41,23.5
1502,600,0,105,1,18,24,17.4
1503,600,0,105,3,18,23,3.6
1504,600,0,105,4,10,50,33.1
1505,600,0,105,2,19,51,8.8
1506,600,0,105,3,15,38,42.4
1507,600,0,105,4,19,32,14.3
1508,600,0,105,4,20,58,42.5
